Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kalorien (kcal)
Birne, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;54
Birnenkuchen, hausgemacht, gebacken (mit Blätterteig);Birnenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;146
Birnenkuchen, hausgemacht, gebacken (mit Kuchenteig);Birnenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;148
Birnensaft;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;52
Birnenweggen;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;363
Blanc battu mit Früchten, mit Süsstoffen;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;67
Blanc battu, nature, mager;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;47
Blätterteig (mit pflanzichem Fett), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;385
Blätterteig, hausgemacht (Butter), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;364
Blätterteig, hausgemacht (mit pflanzlichem Fett), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;349
Blätterteigstängel;Flûtes;Salzige Snacks/Blätterteiggebäcke;pro 100g essbarer Anteil;490
Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;24
Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;25
Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;23
Blattsalat (Durchschnitt), roh ;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;19
Blauschimmelkäse (Durchschnitt);;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;360
Blumenkohl, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;26
Blumenkohl, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;26
Blutwurst;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;149
