Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kalorien (kcal)
Kohlrabi, gedämpft (ohne Zugabe von Salz);Rübkohl;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;28
Kohlrabi, roh;Rübkohl;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;27
Kokosfett;;Fette und Öle/Fette;pro 100g essbarer Anteil;894
Kokosmakronen;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;549
Kokosnuss;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;384
Kokosnuss, getrocknet (Kokosrapseln, Kokosflocken);;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;653
Kokosnussgetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;22
Kokosnussgetränk, nature, mit Calcium und Vitaminen angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;22
Kokosnussmilch;Kokosmilch;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;214
Kondensmilch, gezuckert;;Milch und Milchprodukte/Milch;pro 100g essbarer Anteil;339
Kondensmilch, ungezuckert;;Milch und Milchprodukte/Milch;pro 100g essbarer Anteil;131
Konfitüre;Marmelade;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;246
Konfitüre, energievermindert, mit Süssstoffen;Marmelade;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;136
Kopfsalat, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;14
Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;223
Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), roh;;"Fleisch und Innereien/Schwein;Fleisch und Innereien/Kalb;Fleisch und Innereien/Lamm, Schaf";pro 100g essbarer Anteil;177
Krustentiere (Durchschnitt), roh;;Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;75
Kuchenteig (mit Butter), ungebacken;Wähenteig;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;375
Kuchenteig (mit pflanzlichem Fett), ungebacken;Wähenteig;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;394
Kuchenteig, Vollkorn (mit Butter), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;372
Kuchenteig, Vollkorn (mit pflanzichem Fett), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;359
Kürbis-Piccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;140
Kürbis, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;29
Kürbis, roh;Riesenkürbis;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;28
Kürbiskerne;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;615
Kürbiskernöl;;Fette und Öle/Öle;pro 100 ml;810
Kürbisscheiben, paniert, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;144
Lachs, geräuchert;;Fisch/Meeresfische;pro 100g essbarer Anteil;167
Lachs, Wildfang, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;182
Lachs, Zucht, Filet, gedämpft (ohne Zusatz von Fett und Salz);;Fisch/Meeresfische;pro 100g essbarer Anteil;180
Lachs, Zucht, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;200
"Lamm, Filet, ""medium"" gebraten (ohne Zusatz von Fett und Salz)";;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;136
Lamm, Filet, roh;;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;112
Lamm, Gigot, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;203
Lamm, Gigot, roh (Schweiz, Neuseeland);Keule;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;155
Lamm, Kotelett, roh (Schweiz);;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;179
Lamm, Nierstück, roh (Australien, Neuseeland);;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;117
Lamm, Racks, roh (Australien, Neuseeland);;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;156
Lamm, Voressen, roh (Schweiz);Ragout;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;154
Lamm/Schaf (Durchschnitt exkl. Innereien, Kotelett), roh;;Fleisch und Innereien/Lamm, Schaf;pro 100g essbarer Anteil;134
Lammragout mit Sauce, zubereitet;Voressen;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;113
Landjäger;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;491
Latte macchiato, ungezuckert;;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee";pro 100 ml;47
Lattich, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;16
Lauch, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;31
Lauch, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;30
Laugenbrötli (mit jodiertem Kochsalz);Silserli;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;282
Laugengebäck trocken (Bretzel, Sticks);;Salzige Snacks/Salzsticks und Bretzel;pro 100g essbarer Anteil;361
Laugengipfeli (mit jodiertem Kochsalz);Silsergipfeli;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;423
Leber (Durchschnitt aus Rind, Kalb, Schwein), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;157
Leber (Durchschnitt aus Rind, Kalb, Schwein), roh;;"Fleisch und Innereien/Geflügel;Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein";pro 100g essbarer Anteil;134
Leberwurst;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;253
Lebkuchen;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;404
Lebkuchen mit Schokoladeüberzug;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;444
Leinöl, kaltgepresst;;Fette und Öle/Öle;pro 100 ml;810
Leinsamen;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;533
Lemon Curd;Zitronencrème;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;317
Limburger (Münster);;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;273
Limonade, mit Aroma, gezuckert;;Alkoholfreie Getränke/Süssgetränke;pro 100 ml;38
Linse, ganz, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;115
Linse, ganz, getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;324
Linse, geschält, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;134
Linse, geschält, getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;334
Linzertorte;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;424
Löffelbiscuit;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;413
Luganighe;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;298
Lyoner;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;244
Madeleine (mit Butter);;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;460
Madeleine (mit Pflanzenöl);;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;434
Magermilch, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;33
Magermilchpulver;;Milch und Milchprodukte/Milch;pro 100g essbarer Anteil;348
Mailänderli;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;431
Mais-Chips (Apérogebäck);;Salzige Snacks/Chips;pro 100g essbarer Anteil;509
Mais, gedämpft (ohne Zugabe von Salz);"Zuckermais;Gemüsemais";Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;100
Mais, roh;"Zuckermais;Gemüsemais";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;93
Maisgriess, gekocht;Polenta;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mais;pro 100g essbarer Anteil;79
Maisgriess, trocken;Polenta;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mais;pro 100g essbarer Anteil;350
Maiskeimöl;;Fette und Öle/Öle;pro 100 ml;810
Maiskölbchen, in Essig eingelegt;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;119
Maisstärke;;"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;Verschiedenes/Gelier- und Bindemittel";pro 100g essbarer Anteil;354
Malzgetränk mit Kakao, mit Vitaminen und Mineralien angereichert, Pulver;;Alkoholfreie Getränke/Malzextrakthaltige Getränke;pro 100g essbarer Anteil;382
Malzgetränk mit Kakao, mit Vitaminen und Mineralien angereichert, zubereitet (mit Milch);;"Alkoholfreie Getränke/Malzextrakthaltige Getränke;Milch und Milchprodukte/Milch- und Joghurtgetränke";pro 100g essbarer Anteil;81
Mandarine, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;47
Mandel;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;624
Mandel, geröstet, gesalzen;;Salzige Snacks/Gesalzene Nüsse, Samen, Kerne;pro 100g essbarer Anteil;649
Mandel, ohne Fett geröstet, gesalzen;;Salzige Snacks/Gesalzene Nüsse, Samen, Kerne;pro 100g essbarer Anteil;637
Mandelgetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;33
Mandelgetränk, nature, mit Calcium und Vitaminen angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;33
Mango, getrocknet;;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;293
Mango, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;68
Mangold, gedämpft (ohne Zugabe von Salz);Krautstiel;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;29
Mangold, roh;Krautstiel;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;23
Maniok, Wurzelknolle, gekocht (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;131
Maniok, Wurzelknolle, roh;"Cassava;Kassave;Yuca";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;140
Margarine, 35 - 40 % Fett;;"Fette und Öle/Fette;Fette und Öle/Fette";pro 100g essbarer Anteil;357
Margarine, ohne Butter, 70 - 80 % Fett;;Fette und Öle/Fette;pro 100g essbarer Anteil;696
Marmorkuchen;Marmorcake;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;356
Marzipan;;Süssigkeiten/Sonstige Süssigkeiten;pro 100g essbarer Anteil;474
Mascarpone;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;435
Mayonnaise;;Fette und Öle/Mayonnaisen;pro 100g essbarer Anteil;742
Mayonnaise, kalorienvermindert;;Fette und Öle/Mayonnaisen;pro 100g essbarer Anteil;327
Mayonnaise, mit Rapsöl, hausgemacht;;Fette und Öle/Mayonnaisen;pro 100g essbarer Anteil;792
Mehl (Durchschnitt);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;343
Mehl, hell (Durchschnitt);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;344
Mehlomeletten mit Champignonfüllung, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;125
Mehlomeletten mit Gemüsefüllung, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;137
Mehlomeletten mit Käse, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;194
Mehlomeletten mit Nutella, zubereitet;;Gerichte/Sonstige süsse Gerichte;pro 100g essbarer Anteil;259
Mehlomeletten mit Schinken, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;155
Mehlomeletten mit Speck, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;188
Mehlomeletten mit Zimt und Zucker, zubereitet;;Gerichte/Sonstige süsse Gerichte;pro 100g essbarer Anteil;177
Mehlomeletten, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;165
Melasse, Melassesirup;;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;274
Meringue;;Süssigkeiten/Sonstige Süssigkeiten;pro 100g essbarer Anteil;401
Miesmuschel, roh;;Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;85
Milch (Durchschnitt);;Milch und Milchprodukte/Milch;pro 100 ml;59
Milchkaffee dunkel, ungezuckert;Schale;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee";pro 100 ml;16
Milchkaffee hell, ungezuckert;Schale;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee";pro 100 ml;22
Milchkaffee, ungezuckert;Schale;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee";pro 100 ml;19
Milchreis, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;129
Milchreis, zubereitet (mit Vollmilch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;143
Milchschokolade;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;537
Milchschokolade mit Alkoholfüllung;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;488
Milchschokolade mit Crèmefüllung (Gianduja, Nougat);;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;573
Milchschokolade mit Mandel-Honig-Nougat;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;536
Milchschokolade mit Nüssen;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;570
Milchschokolade mit Weinbeeren, Nüssen und Mandeln;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;513
Minestrone;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;53
Minipic Würstchen;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;460
Mirabelle, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;70
Mirabelle, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;76
Molke, süss;Süssmolke;Milch und Milchprodukte/Milch- und Joghurtgetränke;pro 100 ml;24
Morchel, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Pilze;pro 100g essbarer Anteil;34
Morchel, roh;;Gemüse/Pilze;pro 100g essbarer Anteil;29
Mortadella;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;314
Mostbröckli;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;150
Mozzarella;;"Milch und Milchprodukte/Weichkäse;Milch und Milchprodukte/Frischkäse und Quark";pro 100g essbarer Anteil;256
Müeslimischung, Getreideflocken mit Früchten und Nüssen, gezuckert ;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;365
Müeslimischung, Getreideflocken mit Früchten und Nüssen, ungesüsst;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;372
Mürbeteig (mit Butter), süss, gebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;530
Mürbeteig (mit Butter), süss, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;424
Mürbeteig (mit pflanzlichem Fett), süss, gebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;494
Mürbeteig (mit pflanzlichem Fett), süss, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;395
Mütschli;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;255
Nasi Goreng, zubereitet;;Gerichte/Asiatische Gerichte;pro 100g essbarer Anteil;125
Nektarine, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;55
Nussgipfel aus Blätterteig;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;419
Nussgipfel aus Hefeteig;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;318
Nüsslisalat, roh;"Feldsalat;Rapunzelsalat";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;23
Nussschnecke aus Hefeteig;Hefeschnecke;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;445
Ofen-Frites, tiefgekühlt;Ofen-Pommes;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;127
Olive, gefüllt mit Hackfleisch, frittiert;;Salzige Snacks/Sonstige salzige Snacks;pro 100g essbarer Anteil;329
Olive, grün, in Salzlake, abgetropft;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;154
Olive, schwarz;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;176
Olivenöl;;Fette und Öle/Öle;pro 100 ml;810
Orange, roh;Apfelsine;Früchte/Früchte frisch;pro 100g essbarer Anteil;45
Orangeat;;Süssigkeiten/Sonstige Süssigkeiten;pro 100g essbarer Anteil;306
Orangennektar;;"Alkoholfreie Getränke/Süssgetränke;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;44
Orangensaft;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;44
Palmöl - Palmfett;;"Fette und Öle/Öle;Fette und Öle/Fette";pro 100 ml;809
Pancetta;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;467
Panettone;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;354
Paniermehl;Semmelmehl;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;373
Pantli;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;553
Papaya, reif, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;44
Paprika (Gewürz);;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;358
Paranuss;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;698
Pariserbrot;"Baguette;Parisette";Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;255
Parmesan;Parmiggiano;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;401
Passionsfrucht, roh;Maracuja;Früchte/Früchte frisch;pro 100g essbarer Anteil;102
Pastinake, gekocht (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;58
Pastinake, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;62
Peperoni, grün, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;25
Peperoni, grün, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;20
Peperoni, rot, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;39
Peperoni, rot, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;32
Pestosauce, grün;;Verschiedenes/Saucen;pro 100g essbarer Anteil;430
Pestosauce, rot;;Verschiedenes/Saucen;pro 100g essbarer Anteil;398
Petersilie, roh;Peterli;Gemüse/Kräuter;pro 100g essbarer Anteil;58
Petit Beurre;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;431
Petit Beurre mit Schokolade;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;482
Petit Beurre, Vollkorn;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;426
Pfefferminze, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;49
Pferd, Filet, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;129
Pferd, Filet, roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;102
Pferderagout mit Sauce, zubereitet;Voressen;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;89
Pfirsich, gelb, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;43
Pfirsich, in Sirup, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;82
Pfirsich, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;40
Pflaume, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;48
Pflaume, getrocknet;"Dörrpflaume;Backpflaume";Früchte/Früchte getrocknet;pro 100g essbarer Anteil;227
Pflaume, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;48
Pflaumenkuchen, hausgemacht, gebacken (mit Blätterteig);Pflaumenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;142
Pflaumenkuchen, hausgemacht, gebacken (mit Kuchenteig);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;144
Pilz (Durchschnitt), gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Pilze;pro 100g essbarer Anteil;34
Pilz (Durchschnitt), roh;;Gemüse/Pilze;pro 100g essbarer Anteil;29
Pilzrisotto, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;128
Pilzsauce, gebunden;;Verschiedenes/Saucen;pro 100g essbarer Anteil;132
Pilzsuppe;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;38
Pinienkerne;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;688
Pistazie;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;594
Pizza al tonno, gebacken;Pizza mit Thon;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;226
Pizza Calzone, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;224
Pizza Hawaii, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;195
Pizza Margherita, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;238
Pizza mit Gemüse, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;125
Pizza mit Mascarpone und Rucola, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;239
Pizza Prosciutto e Funghi, gebacken;Pizza mit Schinken und Pilzen;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;204
Pizza Prosciutto, gebacken;Pizza mit Schinken;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;218
Pizza Quattro Formaggi, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;297
Pizzateig (mit Olivenöl), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;229
Plätzli (Durchschnitt aus Geflügel, Kalb, Rind, Schwein), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;145
Plätzli (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), paniert, gebraten;"Fleisch paniert;Schnitzel, paniert";"Fleisch und Innereien/Geflügel;Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein";pro 100g essbarer Anteil;233
Plätzli (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh ;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein;Fleisch und Innereien/Geflügel";pro 100g essbarer Anteil;113
Polenta nera (aus Maisgriess und Buchweizenmehl), gekocht;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mais;pro 100g essbarer Anteil;111
Pommes Chips;;Salzige Snacks/Chips;pro 100g essbarer Anteil;538
Pommes Chips fettreduziert;;Salzige Snacks/Chips;pro 100g essbarer Anteil;468
Pommes Frites (im Ofen gebacken), ungesalzen;Ofen-Pommes;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;232
Pommes Frites (in HO Sonnenblumenöl frittiert), ungesalzen;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;286
Popcorn;Puffmais;Salzige Snacks/Sonstige salzige Snacks;pro 100g essbarer Anteil;367
Portwein, 18.5 vol%;Porto;Alkoholhaltige Getränke/Wein;pro 100 ml;152
Poulet, Brust, mit Haut, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;152
Poulet, Brust, ohne Haut, roh;Pouletschnitzel;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;107
Poulet, Brust, Schnitzel oder Geschnetzeltes, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;128
Poulet, ganz, mit Haut, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;193
Poulet, ganz, mit Haut, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;168
Poulet, Schenkel, mit Haut, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;187
Poulet, Schenkel, mit Haut, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;163
Poulet, Schenkel, ohne Haut, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;135
Preiselbeere, roh;Moosbeere;Früchte/Früchte frisch;pro 100g essbarer Anteil;36
Prussien;Palmiers;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;438
Pudding, Caramel;Flan;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;125
Pudding, Schokolade;Flan;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;121
Pudding, Vanille;Flan;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;102
Quark, mit Früchten, gezuckert;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;112
Quark, nature, halbfett;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;99
